nb_iteration : 0  ;  nb_predateur : 29  ;  nb_proie : 24 
nb_iteration : 1  ;  nb_predateur : 44  ;  nb_proie : 33 
nb_iteration : 2  ;  nb_predateur : 70  ;  nb_proie : 47 
nb_iteration : 3  ;  nb_predateur : 100  ;  nb_proie : 66 
nb_iteration : 4  ;  nb_predateur : 102  ;  nb_proie : 87 
nb_iteration : 5  ;  nb_predateur : 97  ;  nb_proie : 106 
nb_iteration : 6  ;  nb_predateur : 93  ;  nb_proie : 108 
nb_iteration : 7  ;  nb_predateur : 92  ;  nb_proie : 137 
nb_iteration : 8  ;  nb_predateur : 120  ;  nb_proie : 169 
nb_iteration : 9  ;  nb_predateur : 149  ;  nb_proie : 223 
nb_iteration : 10  ;  nb_predateur : 157  ;  nb_proie : 257 
nb_iteration : 11  ;  nb_predateur : 196  ;  nb_proie : 295 
nb_iteration : 12  ;  nb_predateur : 227  ;  nb_proie : 330 
nb_iteration : 13  ;  nb_predateur : 288  ;  nb_proie : 353 
nb_iteration : 14  ;  nb_predateur : 369  ;  nb_proie : 372 
nb_iteration : 15  ;  nb_predateur : 448  ;  nb_proie : 364 
nb_iteration : 16  ;  nb_predateur : 578  ;  nb_proie : 313 
nb_iteration : 17  ;  nb_predateur : 714  ;  nb_proie : 215 
nb_iteration : 18  ;  nb_predateur : 866  ;  nb_proie : 116 
nb_iteration : 19  ;  nb_predateur : 1008  ;  nb_proie : 88 
nb_iteration : 20  ;  nb_predateur : 1094  ;  nb_proie : 46 
nb_iteration : 21  ;  nb_predateur : 1180  ;  nb_proie : 23 
nb_iteration : 22  ;  nb_predateur : 1150  ;  nb_proie : 7 
nb_iteration : 23  ;  nb_predateur : 1036  ;  nb_proie : 1 
nb_iteration : 24  ;  nb_predateur : 829  ;  nb_proie : 0 
